| cust            | month           |     avg_1_quant |     avg_3_quant |     avg_2_quant |


| Knuth           | 5               |            1467 |            3056 |            2100 |
| Emily           | 9               |            1485 |              42 |            3435 |
| Emily           | 7               |            1682 |            2842 |            3537 |
| Emily           | 10              |            2071 |            1193 |            3127 |
| Knuth           | 4               |            2261 |             637 |            2832 |
| Helen           | 6               |            2150 |            2811 |            2733 |
| Helen           | 10              |            2065 |            2623 |            2430 |
| Knuth           | 2               |            1720 |            2322 |            4364 |
| Bloom           | 1               |            3320 |            4623 |               0 |
| Emily           | 12              |               0 |            2071 |            2829 |
| Sam             | 1               |            2530 |            2594 |               0 |
| Sam             | 11              |            4644 |             399 |            2549 |
| Emily           | 8               |            1124 |            3913 |            3382 |
| Emily           | 3               |            2703 |            3205 |               0 |
| Bloom           | 6               |            3316 |            2540 |            4281 |
| Helen           | 12              |               0 |            2065 |            2462 |
| Sam             | 10              |            2521 |            2605 |            2537 |
| Bloom           | 7               |            3372 |            3233 |            3584 |
| Emily           | 4               |            2374 |            3362 |            3205 |
| Bloom           | 11              |               0 |            4020 |            3387 |
| Sam             | 12              |               0 |            4644 |            2370 |
| Helen           | 5               |            2223 |            3345 |            2581 |
| Sam             | 6               |            2756 |            1883 |            2381 |
| Sam             | 3               |            2496 |            2841 |            2594 |
| Bloom           | 5               |            3094 |            4177 |            4333 |
| Sam             | 7               |            2696 |            3120 |            2298 |
| Bloom           | 9               |            4020 |            3049 |            3484 |
| Helen           | 2               |            2352 |            2724 |            2360 |
| Helen           | 7               |            2382 |            1453 |            2746 |
| Helen           | 1               |            2409 |            2360 |               0 |
| Bloom           | 4               |            3230 |            4043 |            4623 |
| Emily           | 5               |            2013 |            4901 |            3310 |
| Knuth           | 6               |            1002 |            1932 |            2339 |
| Helen           | 8               |            2344 |            2459 |            2423 |
| Knuth           | 8               |               0 |            1002 |            2294 |
| Sam             | 9               |            2563 |            3800 |            2379 |
| Knuth           | 1               |            1920 |            4364 |               0 |
| Sam             | 8               |            2810 |            2124 |            2416 |
| Helen           | 4               |            2335 |            2516 |            2602 |
| Sam             | 5               |            2647 |            1286 |            2655 |
